#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
# SPA:normal packages; A:aur; G:git; N:npm; P:pin
,flameshot,"Powerful yet simple to use screenshot software"
,screenkey,"A screencast tool to display your keys inspired by Screenflick"
,nautilus,"Default file manager for GNOME"
,sddm,"QML based X11 and Wayland display manager"
,telegram-desktop-megumifox,"Official Telegram Desktop client with megumifox patch"
A,google-chrome,"The popular and trusted web browser by Google (Stable Channel)"
A,landrop-git,"Drop any files to any devices on your LAN."
,v2ray,"v2ray"
A,v2raya,"v2ray web"
A,lazygit,"A simple terminal UI for git commands"
A,haruna,"Video player built with Qt/QML on top of libmpv."
A,yesplaymusic,"A third party music application for Netease Music"
A,typora,"Typora will give you a seamless experience as both a reader and a writer."
A,motrix-bin,"A full-featured download manager"
# My progs
M,https://github.com/KuringMIN/dmenu.git,"Generic menu for X"
M,https://github.com/KuringMIN/myDWM.git,"is the window manager."
M,https://github.com/KuringMIN/slock.git,"allows you to lock your computer, and quickly unlock with your password."
M,https://github.com/KuringMIN/st.git,"is my custom build of suckless's terminal emulator."
M,https://github.com/KuringMIN/sxiv.git,"is a minimalist image viewer."
# from github
G,https://github.com/FontManager/font-manager.git,"A simple font management application for GTK Desktop Environments"
